         521498010 function calls (521495097 primitive calls) in 566.919 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  5833598    6.073    0.000   20.242    0.000 C:\Users\kiran\anaconda3\lib\re.py:198(search)
 27403398    5.810    0.000    5.810    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\cell\read_only.py:108(value)
  5833598    5.490    0.000    5.490    0.000 {method 'sub' of 're.Pattern' objects}
       87    5.445    0.063    5.445    0.063 {pandas._libs.writers.write_csv_rows}
  5833676    5.367    0.000    5.367    0.000 {method 'search' of 're.Pattern' objects}
  9583824    4.640    0.000    4.640    0.000 {method 'findtext' of 'xml.etree.ElementTree.Element' objects}
  1250085    4.349    0.000  398.396    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_read_only.py:58(_cells_by_row)
        3    4.263    1.421    4.393    1.464 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
  5833534    4.220    0.000    4.220    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\cell\read_only.py:54(style_array)
 20484548    3.786    0.000    3.786    0.000 {method 'end' of 'xml.etree.ElementTree.TreeBuilder' objects}
  9583824    3.704    0.000    3.704    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\cell\read_only.py:112(value)
       87    3.448    0.040    3.456    0.040 {pandas._libs.tslib.format_array_from_datetime}
 20465520    3.413    0.000    3.413    0.000 {method 'popleft' of 'collections.deque' objects}
  1273948    3.176    0.000    3.176    0.000 {method 'clear' of 'xml.etree.ElementTree.Element' objects}
 20484553    3.130    0.000    3.130    0.000 {method 'append' of 'collections.deque' objects}
      138    2.626    0.019    2.626    0.019 {method 'astype' of 'numpy.ndarray' objects}
       24    2.566    0.107    2.566    0.107 {built-in method pandas._libs.tslib.array_to_datetime}
  1250064    2.406    0.000    3.701    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:281(<setcomp>)
  5833664    2.399    0.000    2.399    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\styles\cell_style.py:26(__get__)
16035834/16034357    2.315    0.000    2.319    0.000 {built-in method builtins.len}
  9584012    2.066    0.000    2.066    0.000 {method 'upper' of 'str' objects}
  5833731    1.898    0.000    1.898    0.000 {method 'split' of 'str' objects}
    25264    1.743    0.000    1.743    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  2502052    1.295    0.000    1.295    0.000 {method 'startswith' of 'str' objects}
  1250043    1.225    0.000    1.225    0.000 {built-in method builtins.round}
       66    1.154    0.017    1.154    0.017 {pandas._libs.parsers.sanitize_objects}
  2500128    1.086    0.000    1.086    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\excel\_openpyxl.py:550(<genexpr>)
  1250043    1.014    0.000    1.014    0.000 {built-in method builtins.divmod}
       84    0.871    0.010    1.208    0.014 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:3011(_remove_empty_lines)
1250668/1250647    0.812    0.000    1.442    0.000 {built-in method builtins.all}
  2572254    0.777    0.000    0.777    0.000 {method 'get' of 'dict' objects}
    25323    0.664    0.000    0.664    0.000 {built-in method zlib.crc32}
      164    0.642    0.004    0.644    0.004 {pandas._libs.lib.maybe_convert_numeric}
  2552409    0.522    0.000    0.522    0.000 {method 'append' of 'list' objects}
  1250085    0.515    0.000    0.668    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\excel\_openpyxl.py:560(<genexpr>)
    40393    0.514    0.000    1.828    0.000 {built-in method builtins.max}
  1250064    0.505    0.000    0.661    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:3145(<genexpr>)
  1250085    0.501    0.000    0.653    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\excel\_openpyxl.py:559(<genexpr>)
      197    0.424    0.002    0.424    0.002 {built-in method pandas._libs.missing.isnaobj}
    25264    0.388    0.000    3.625    0.000 C:\Users\kiran\anaconda3\lib\zipfile.py:996(_read1)
       21    0.372    0.018    0.372    0.018 {pandas._libs.lib.to_object_array}
2068/2056    0.362    0.000    0.363    0.000 {built-in method numpy.array}
    15115    0.333    0.000    0.333    0.000 {method 'read' of '_io.BufferedReader' objects}
    15101    0.249    0.000    0.918    0.000 {built-in method builtins.min}
      198    0.215    0.001    0.216    0.001 {pandas._libs.lib.infer_dtype}
    25287    0.198    0.000    3.848    0.000 C:\Users\kiran\anaconda3\lib\zipfile.py:916(read)
       12    0.187    0.016    0.187    0.016 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1764(is_unique)
24241/23866    0.147    0.000    0.661    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
        6    0.146    0.024   12.489    2.081 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:283(_save_body)
    15101    0.136    0.000    0.625    0.000 C:\Users\kiran\anaconda3\lib\zipfile.py:756(read)
  265/193    0.118    0.000    0.134    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
    15164    0.112    0.000    0.112    0.000 {method 'tell' of '_io.BufferedReader' objects}
    47802    0.095    0.000    0.134    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\sequence.py:23(__set__)
        2    0.091    0.046    1.181    0.590 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\reader\strings.py:9(read_string_table)
       13    0.085    0.007    0.085    0.007 {built-in method io.open}
    15134    0.083    0.000    0.738    0.000 C:\Users\kiran\anaconda3\lib\zipfile.py:1032(_read2)
       69    0.078    0.001    0.078    0.001 {pandas._libs.lib.infer_datetimelike_array}
       93    0.074    0.001    0.102    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1860(_stack_arrays)
       90    0.074    0.001    0.097    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\format.py:1632(is_dates_only)
    52791    0.072    0.000    0.108    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:38(__set__)
        6    0.068    0.011    0.068    0.011 {pandas._libs.algos.take_2d_axis1_object_object}
       27    0.064    0.002    0.064    0.002 {method 'take' of 'numpy.ndarray' objects}
      736    0.063    0.000    0.063    0.000 {built-in method numpy.empty}
    25252    0.062    0.000  181.633    0.007 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1268(feed)
      936    0.056    0.000    0.056    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    23744    0.055    0.000    0.110    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\cell\text.py:173(content)
        6    0.054    0.009    0.054    0.009 {pandas._libs.algos.take_2d_axis1_int64_int64}
      360    0.054    0.000    0.054    0.000 {built-in method _codecs.utf_8_decode}
    25252    0.053    0.000  181.571    0.007 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1690(feed)
    23744    0.053    0.000    0.376    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\cell\text.py:161(__init__)
       21    0.051    0.002  543.895   25.900 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\excel\_base.py:439(parse)
    25264    0.051    0.000    0.715    0.000 C:\Users\kiran\anaconda3\lib\zipfile.py:949(_update_crc)
      102    0.048    0.000    3.666    0.036 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:376(apply)
       12    0.045    0.004    0.046    0.004 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:664(_aggregate)
    26793    0.043    0.000    0.109    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:64(__set__)
        6    0.042    0.007    0.042    0.007 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:214(set_axis)
   101423    0.040    0.000    0.040    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:23(__set__)
    24184    0.036    0.000    0.141    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\nested.py:28(__set__)
    24173    0.035    0.000    0.075    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\xml\functions.py:75(localname)
       42    0.033    0.001    0.033    0.001 {pandas._libs.algos.take_2d_axis0_int64_int64}
    71379    0.033    0.000    0.046    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:229(__get__)
146643/146445    0.031    0.000    0.235    0.000 {built-in method builtins.getattr}
    15123    0.029    0.000    0.029    0.000 {method 'seek' of '_io.BufferedReader' objects}
    24213    0.027    0.000    0.027    0.000 {method 'match' of 're.Pattern' objects}
        6    0.027    0.004    0.351    0.059 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\groupby\grouper.py:325(_set_grouper)
       21    0.026    0.001    1.247    0.059 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:3217(_get_lines)
        2    0.023    0.012    0.023    0.012 {pandas._libs.algos.take_2d_axis1_float64_float64}
    29166    0.023    0.000    0.030    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:30(_check)
        3    0.023    0.008    5.390    1.797 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:447(_read)
        4    0.020    0.005    0.020    0.005 {pandas._libs.algos.take_2d_axis0_float64_float64}
      592    0.020    0.000    0.496    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:202(_isna_ndarraylike)
       15    0.017    0.001    0.017    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1696(is_monotonic_increasing)
        3    0.017    0.006    0.098    0.033 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:1853(__init__)
        6    0.016    0.003    0.017    0.003 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexers.py:225(maybe_convert_indices)
      321    0.016    0.000    0.016    0.000 {pandas._libs.algos.ensure_object}
    15101    0.015    0.000    0.015    0.000 C:\Users\kiran\anaconda3\lib\zipfile.py:1526(<lambda>)
       12    0.015    0.001    0.015    0.001 {pandas._libs.algos.ensure_float64}
       24    0.014    0.001    9.446    0.394 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:1055(read)
    53371    0.014    0.000    0.014    0.000 {built-in method builtins.hasattr}
      127    0.013    0.000    0.013    0.000 {method 'extend' of 'list' objects}
      197    0.013    0.000    0.451    0.002 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:244(_isna_string_dtype)
       21    0.012    0.001    3.698    0.176 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:2463(read)
        3    0.012    0.004    2.434    0.811 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\tools\datetimes.py:609(to_datetime)
       24    0.012    0.001    0.012    0.001 {method 'argsort' of 'numpy.ndarray' objects}
    25536    0.012    0.000    0.016    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:49(_convert)
     4807    0.012    0.000    0.028    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1470(is_extension_array_dtype)
       14    0.012    0.001    0.012    0.001 {pandas._libs.algos.take_2d_axis0_object_object}
      638    0.012    0.000    0.012    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        3    0.012    0.004    0.012    0.004 {method 'repeat' of 'numpy.ndarray' objects}
        6    0.011    0.002    0.272    0.045 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1454(take)
    47802    0.011    0.000    0.011    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\sequence.py:26(<listcomp>)
     6761    0.011    0.000    0.046    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\base.py:254(is_dtype)
     4861    0.010    0.000    0.014    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\base.py:411(find)
       12    0.010    0.001    0.010    0.001 {pandas._libs.lib.maybe_indices_to_slice}
      812    0.010    0.000    0.055    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2662(get_block_type)
  264/117    0.010    0.000    0.101    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:250(__new__)
       22    0.009    0.000    0.071    0.003 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:101(concat_compat)
       95    0.009    0.000    0.268    0.003 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\algorithms.py:1661(take_nd)
        3    0.009    0.003    0.168    0.056 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:35(concatenate_block_managers)
        3    0.008    0.003    0.203    0.068 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:834(inferred_freq)
    24173    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
     4043    0.008    0.000    0.014    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1610(_is_dtype_type)
      294    0.008    0.000    0.304    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:733(to_native_types)
      576    0.007    0.000    0.007    0.000 {built-in method numpy.arange}
    23752    0.007    0.000    0.007    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\nested.py:64(from_tree)
      300    0.007    0.000    0.038    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:1891(sequence_to_dt64ns)
       12    0.007    0.001    0.104    0.009 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:550(_cython_operation)
     1236    0.007    0.000    0.011    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:231(is_sparse)
     2361    0.006    0.000    0.025    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:537(is_categorical_dtype)
      712    0.006    0.000    0.306    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:127(__init__)
    23822    0.006    0.000    0.006    0.000 {method 'replace' of 'str' objects}
      117    0.006    0.000    0.015    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:232(_rebuild_blknos_and_blklocs)
    17724    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
      631    0.005    0.000    0.359    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2711(make_block)
      851    0.005    0.000    0.012    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
    23836    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
    24727    0.005    0.000    0.005    0.000 {built-in method builtins.callable}
     1873    0.005    0.000    0.017    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:923(is_dtype)
       13    0.005    0.000    0.005    0.000 {built-in method _operator.invert}
       87    0.005    0.000   12.342    0.142 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:293(_save_chunk)
     1390    0.004    0.000    0.013    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:1132(is_dtype)
        3    0.004    0.001    0.004    0.001 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
     2056    0.004    0.000    0.022    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:463(is_period_dtype)
       90    0.004    0.000    2.934    0.033 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2083(to_native_types)
     1430    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1375    0.004    0.000    0.021    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:573(is_string_dtype)
  645/632    0.004    0.000    0.498    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:133(_isna)
      274    0.004    0.000    0.441    0.002 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\construction.py:423(sanitize_array)
     1695    0.004    0.000    0.010    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:201(is_object_dtype)
        6    0.004    0.001    0.093    0.015 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\groupby\generic.py:1094(blk_func)
  152/122    0.004    0.000    0.077    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\series.py:238(__init__)
      164    0.003    0.000    1.822    0.011 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:1729(_infer_types)
     2080    0.003    0.000    0.005    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1575(get_dtype)
      360    0.003    0.000    0.057    0.000 C:\Users\kiran\anaconda3\lib\codecs.py:319(decode)
      761    0.003    0.000    0.012    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1341(is_bool_dtype)
     1576    0.003    0.000    0.016    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:499(is_interval_dtype)
     1323    0.003    0.000    0.012    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:388(is_datetime64tz_dtype)
     1072    0.003    0.000    0.006    0.000 {pandas._libs.lib.is_list_like}
        3    0.003    0.001    0.003    0.001 {pandas._libs.lib.generate_bins_dt64}
      384    0.003    0.000    0.005    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:324(getitem_block)
       21    0.003    0.000    1.163    0.055 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:1656(_convert_to_ndarrays)
      186    0.003    0.000    0.053    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\extension.py:237(__getitem__)
      303    0.003    0.000    0.018    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:2116(maybe_convert_dtype)
      290    0.003    0.000    0.004    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:188(__init__)
      300    0.003    0.000    0.044    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:309(_from_sequence_not_strict)
      220    0.003    0.000    0.253    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1379(maybe_cast_to_datetime)
     1572    0.003    0.000    0.018    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1551(_is_dtype)
      182    0.003    0.000    0.004    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:5411(__finalize__)
      741    0.002    0.000    0.006    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:269(mgr_locs)
      892    0.002    0.000    0.006    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1307(is_float_dtype)
      603    0.002    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\_mixins.py:103(shape)
      709    0.002    0.000    0.006    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:703(is_integer_dtype)
     1610    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFE7C44C810}
      189    0.002    0.000    0.010    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\_mixins.py:217(__getitem__)
        9    0.002    0.000    0.002    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      429    0.002    0.000    0.338    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:276(make_block)
        4    0.002    0.001    0.005    0.001 C:\Users\kiran\anaconda3\lib\zipfile.py:1327(_RealGetContents)
        3    0.002    0.001    0.002    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:766(_isnan)
      600    0.002    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:290(_simple_new)
      357    0.002    0.000    0.004    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexers.py:363(check_array_indexer)
       24    0.002    0.000    0.129    0.005 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1733(_form_blocks)
       86    0.002    0.000    0.007    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:542(maybe_promote)
      228    0.002    0.000    0.007    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:126(__init__)
     1281    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       66    0.002    0.000    0.002    0.000 {pandas._libs.ops.maybe_convert_bool}
       51    0.002    0.000    0.004    0.000 {pandas._libs.lib.clean_index_list}
      664    0.002    0.000    0.015    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1013(iget_values)
      241    0.002    0.000    0.005    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1257(maybe_castable)
       87    0.002    0.000    3.512    0.040 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:615(_format_native_types)
        3    0.002    0.001    0.326    0.109 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\frame.py:8628(count)
      279    0.002    0.000    0.046    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\datetimes.py:282(__new__)
       95    0.002    0.000    0.006    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\algorithms.py:1534(_get_take_nd_function)
      351    0.002    0.000    0.048    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:5467(__setattr__)
  417/253    0.002    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\serialisable.py:204(__hash__)
     2824    0.002    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:187(<lambda>)
     2824    0.002    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:185(classes)
      271    0.002    0.000    0.265    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\construction.py:554(_try_cast)
      976    0.002    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:429(is_timedelta64_dtype)
      189    0.002    0.000    0.017    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:274(__getitem__)
      988    0.002    0.000    0.014    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:602(condition)
       21    0.002    0.000    0.005    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:92(_get_mgr_concatenation_plan)
      851    0.002    0.000    0.005    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
     1394    0.002    0.000    0.006    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:160(__set__)
      708    0.002    0.000    0.004    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5953(maybe_extract_name)
      661    0.001    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1769(pandas_dtype)
     1219    0.001    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:195(<lambda>)
      180    0.001    0.000    0.006    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:288(_get_getitem_freq)
      690    0.001    0.000    0.041    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5836(ensure_index)
      474    0.001    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:563(_reset_identity)
       87    0.001    0.000    0.042    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:3803(_slice)
